Verse,Sentence number,Segment ,Sentiment class,Fun score,Translation ,Relevant lexicon - Sentiment,Relevant lexicon - Fun,Comments
1213-1220,117,"εἶτʼ ἄνδρα τῶν αὑτοῦ τι χρὴ προϊέναι; οὐδέποτέ γʼ, ἀλλὰ κρεῖττον εὐθὺς ἦν τότε ἀπερυθριᾶσαι μᾶλλον ἢ σχεῖν πράγματα, ὅτε τῶν ἐμαυτοῦ γʼ ἕνεκα νυνὶ χρημάτων ἕλκω σε κλητεύσοντα, καὶ γενήσομαι ἐχθρὸς ἔτι πρὸς τούτοισιν ἀνδρὶ δημότῃ. ἀτὰρ οὐδέποτέ γε τὴν πατρίδα καταισχυνῶ ζῶν, ἀλλὰ καλοῦμαι Στρεψιάδην —",Negative,1,"Then, ought a man to throw away any part of his own property? Never! But it were better then at once to put away blushes, rather than now to have trouble; since I am now dragging you to be a witness, for the sake of my own money; and further, in addition to this, I shall become an enemy to my fellow-tribesman. But never, while I live, will I disgrace my country, but will summon Strepsiades.",,,
1242-1244,118,"ἦ μὴν σὺ τούτων τῷ χρόνῳ δώσεις δίκην. ἀλλʼ εἴτʼ ἀποδώσεις μοι τὰ χρήματʼ εἴτε μή, ἀπόπεμψον ἀποκρινάμενος.",Negative,0,"You will assuredly suffer punishment, some time or other, for this. But answer and dismiss me, whether you are going to repay me my money or not.",,,
1249-1251,119,"ἔπειτʼ ἀπαιτεῖς τἀργύριον τοιοῦτος ὤν; οὐκ ἂν ἀποδοίην οὐδʼ ἂν ὀβολὸν οὐδενί, ὅστις καλέσειε κάρδοπον τὴν καρδόπην.",Negative,1,"And do you then ask me for your money, being such an ignorant person? I would not pay, not even an obolus, to any one who called the kardope kardopos.",,,
1256-1258,120,"καὶ προσαπολεῖς ἄρʼ αὐτὰ πρὸς ταῖς δώδεκα. καίτοι σε τοῦτό γʼ οὐχὶ βούλομαι παθεῖν, ὁτιὴ ʼκάλεσας εὐηθικῶς τὴν κάρδοπον.",Negative,1,"Then you will lose it besides, in addition to your twelve minae. And yet I do not wish you to suffer this, because you named the kardopos floolishly.",,,
1267-1269,121,"μὴ σκῶπτέ μʼ ὦ τᾶν, ἀλλά μοι τὰ χρήματα τὸν υἱὸν ἀποδοῦναι κέλευσον ἅλαβεν, ἄλλως τε μέντοι καὶ κακῶς πεπραγότι.",Negative,0,"Do not jeer me, my friend; but order your son to pay me the money which he received; especially as I have been unfortunate.","σκώπτω, κακός",,"Verb: σκώπτω (mock, jeer at)"
1278-1281,122,"κάτειπέ νυν, πότερα νομίζεις καινὸν ἀεὶ τὸν Δία ὕειν ὕδωρ ἑκάστοτʼ, ἢ τὸν ἥλιον ἕλκειν κάτωθεν ταὐτὸ τοῦθʼ ὕδωρ πάλιν;",Neutral,1,"Tell me now, whether you think that Jupiter always rains fresh rain on each occasion, or that the sun draws from below the same water back again?",,,
1287-1289,123,τί δʼ ἄλλο γʼ ἢ κατὰ μῆνα καὶ καθʼ ἡμέραν πλέον πλέον τἀργύριον ἀεὶ γίγνεται ὑπορρέοντος τοῦ χρόνου;,Neutral,0,Most assuredly the money is always becoming more and more every month and every day as the time slips away.,,,
1293-1296,124,"κᾆτα πῶς αὕτη μὲν ὦ κακόδαιμον οὐδὲν γίγνεται ἐπιρρεόντων τῶν ποταμῶν πλείων, σὺ δὲ ζητεῖς ποιῆσαι τἀργύριον πλεῖον τὸ σόν; οὐκ ἀποδιώξει σαυτὸν ἀπὸ τῆς οἰκίας; φέρε μοι τὸ κέντρον.",Negative,1,"And how then, you wretch does this become no way greater, though the rivers flow into it, while you seek to increase your money? Will you not take yourself off from my house? Bring me the goad.",,,
1299-1302,125,ᾄξεις; ἐπιαλῶ κεντῶν ὑπὸ τὸν πρωκτόν σε τὸν σειραφόρον. φεύγεις; ἔμελλόν σʼ ἆρα κινήσειν ἐγὼ αὐτοῖς τροχοῖς τοῖς σοῖσι καὶ ξυνωρίσιν.,Negative,1,"Will you move quickly? I'll lay on you, goading you behind, you outrigger? Do you fly? I thought I should stir you, together with your wheels and your two-horse chariots.",,,
1303-1310,126,"οἷον τὸ πραγμάτων ἐρᾶν φλαύρων· ὁ γὰρ γέρων ὅδʼ ἐρασθεὶς ἀποστερῆσαι βούλεται τὰ χρήμαθʼ ἁδανείσατο· κοὐκ ἔσθʼ ὅπως οὐ τήμερον λήψεταί τι πρᾶγμʼ, ὃ τοῦτον ποιήσει τὸν σοφιστὴν  ἀνθʼ ὧν πανουργεῖν ἤρξατʼ, ἐξαίφνης λαβεῖν κακόν τι.",Neutral,1,"What a thing it is to love evil courses! For this old man, having loved them, wishes to withhold the money that he borrowed. And he will certainly meet with something today, which will perhaps cause this sophist to suddenly receive some misfortune, in return for the knaveries he has begun.",,,
1311-1320,127,"οἶμαι γὰρ αὐτὸν αὐτίχʼ εὑρήσειν ὅπερ πάλαι ποτʼ †ἐπεζήτει† εἶναι τὸν υἱὸν δεινόν οἱ γνώμας ἐναντίας λέγειν τοῖσιν δικαίοις, ὥστε νικᾶν ἅπαντας οἷσπερ ἂν ξυγγένηται, κἂν λέγῃ παμπόνηρʼ. ἴσως δʼ ἴσως βουλήσεται κἄφωνον αὐτὸν εἶναι.",Neutral,1,"For I think that he will presently find what has been long boiling up, that his son is skilful to speak opinions opposed to justice, so as to overcome all with whomsoever he holds converse, even if he advance most villainous doctrines; and perhaps, perhaps his father will wish that he were even speechless.",,,
1321-1325,128,"ἰοὺ ἰού. ὦ γείτονες καὶ ξυγγενεῖς καὶ δημόται, ἀμυνάθετέ μοι τυπτομένῳ πάσῃ τέχνῃ. οἴμοι κακοδαίμων τῆς κεφαλῆς καὶ τῆς γνάθου. ὦ μιαρὲ τύπτεις τὸν πατέρα;",Negative,1,"Hollo! Hollo! O neighbours, and kinsfolk, and fellow-tribesmen, defend me, by all means, who am being beaten! Ah me, unhappy man, for my head and jaw! Wretch! Do you beat your father?",,,
1338-1341,129,"ἐδιδαξάμην μέντοι σε νὴ Δίʼ ὦ μέλε τοῖσιν δικαίοις ἀντιλέγειν, εἰ ταῦτά γε μέλλεις ἀναπείσειν, ὡς δίκαιον καὶ καλὸν τὸν πατέρα τύπτεσθʼ ἐστὶν ὑπὸ τῶν υἱέων.",Negative,1,"Marry, I did get you taught to speak against justice, by Jupiter, my friend, if you are going to persuade me of this, that it is just and honourable for a father to be beaten by his sons!",,,
1345-1350,130,"σὸν ἔργον ὦ πρεσβῦτα φροντίζειν ὅπῃ τὸν ἄνδρα κρατήσεις, ὡς οὗτος, εἰ μή τῳ ʼπεποίθειν, οὐκ ἂν ἦν οὕτως ἀκόλαστος. ἀλλʼ ἔσθʼ ὅτῳ θρασύνεται· δῆλόν γε τἀνθρώπου ʼσʼτὶ τὸ λῆμα.",Neutral,0,"It is your business, old man, to consider in what way you shall conquer the man; for if he were not relying upon something, he would not be so licentious. But he is emboldened by something; the boldness of the man is evident.",,,
1351-1352,131,"ἀλλʼ ἐξ ὅτου τὸ πρῶτον ἤρξαθʼ ἡ μάχη γενέσθαι, ἤδη λέγειν χρὴ πρὸς χορόν· πάντως δὲ τοῦτο δράσεις.",Neutral,0,Now you ought to tell to the Chorus from what the contention first arose. And this you must do by all means.,,,
1353-1358,132,"καὶ μὴν ὅθεν γε πρῶτον ἠρξάμεσθα λοιδορεῖσθαι ἐγὼ φράσω· ʼπειδὴ γὰρ εἱστιώμεθʼ, ὥσπερ ἴστε, πρῶτον μὲν αὐτὸν τὴν λύραν λαβόντʼ ἐγὼ ʼκέλευσα ᾆσαι Σιμωνίδου μέλος, τὸν Κριὸν ὡς ἐπέχθη. ὁ δʼ εὐθέως ἀρχαῖον εἶνʼ ἔφασκε τὸ κιθαρίζειν ᾄδειν τε πίνονθʼ ὡσπερεὶ κάχρυς γυναῖκʼ ἀλοῦσαν.",Neutral,1,"Well, now, I will tell you from what we first began to rail at one another. After we had feasted, as you know, I first bade him take a lyre, and sing a song of Simonides, “The Shearing of the Ram.” But he immediately said it was old-fashioned to play on the lyre and sing while drinking, like a woman grinding parched barley.",,,
1359-1360,133,"οὐ γὰρ τότʼ εὐθὺς χρῆν σʼ ἄρα τύπτεσθαί τε καὶ πατεῖσθαι, ᾄδειν κελεύονθʼ ὡσπερεὶ τέττιγας ἑστιῶντα;",Negative,1,"For ought you not then immediately to be beaten and trampled on, bidding me sing, just as if you were entertaining cicadae?",,,
1386-1390,134,"βοῶντα καὶ κεκραγόθʼ ὅτι χεζητιῴην, οὐκ ἔτλης ἔξω ʼξενεγκεῖν ὦ μιαρὲ θύραζέ μʼ, ἀλλὰ πνιγόμενος αὐτοῦ ʼποίησα κακκᾶν.",Negative,1,"But you now, throttling me who was bawling and crying out because I wanted to ease myself, had not the heart to carry me forth out of doors, you wretch; but I did it there while I was being throttled.","βοάω, κράζω, μιαρός",,"Participle: βοάω (cry aloud), κράζω (croak)"
1391-1396,135,"οἶμαί γε τῶν νεωτέρων τὰς καρδίας πηδᾶν ὅ τι λέξει. εἰ γὰρ τοιαῦτά γʼ οὗτος ἐξειργασμένος λαλῶν ἀναπείσει, τὸ δέρμα τῶν γεραιτέρων λάβοιμεν ἂν ἀλλʼ οὐδʼ ἐρεβίνθου.",Neutral,1,"I fancy the hearts of the youths are panting to hear what he will say. For if, after having done such things, he shall persuade him by speaking, I would not take the hide of the old folks, even at the price of a chick-pea.",,,
1408-1409,136,"ἐκεῖσε δʼ ὅθεν ἀπέσχισάς με τοῦ λόγου μέτειμι, καὶ πρῶτʼ ἐρήσομαί σε τουτί· παῖδά μʼ ὄντʼ ἔτυπτες;",Neutral,0,I will pass over to that part of my discourse where you interrupted me; and first I will ask you this: Did you beat me when I was a boy?,,,
1437-1439,137,"ἐμοὶ μὲν ὦνδρες ἥλικες δοκεῖ λέγειν δίκαια· κἄμοιγε συγχωρεῖν δοκεῖ τούτοισι τἀπιεικῆ. κλάειν γὰρ ἡμᾶς εἰκός ἐστʼ, ἢν μὴ δίκαια δρῶμεν.",Neutral,1,"To me, indeed, O comrades, he seems to speak justly; and I think we ought to concede to them what is fitting. For it is proper that we should weep, if we do not act justly.",,,
1447-1451,138,"τί δʼ ἄλλο γʼ ἢν ταυτὶ ποιῇς, οὐδέν σε κωλύσει σεαυτὸν ἐμβαλεῖν ἐς τὸ βάραθρον μετὰ Σωκράτους καὶ τὸν λόγον τὸν ἥττω.",Negative,1,"Most assuredly, if you do this, nothing will hinder you from casting yourself and your Worse Cause into the pit along with Socrates. These evils have I suffered through you, O Clouds! Having intrusted all my affairs to you.",,,
1458-1461,139,"ἡμεῖς ποιοῦμεν ταῦθʼ ἑκάστοθʼ ὅταν τινὰ γνῶμεν πονηρῶν ὄντʼ ἐραστὴν πραγμάτων, ἕως ἂν αὐτὸν ἐμβάλωμεν ἐς κακόν, ὅπως ἂν εἰδῇ τοὺς θεοὺς δεδοικέναι.",Neutral,0,"We always do this to him whom we perceive to be a lover of wicked courses, until we precipitate him into misfortune, so that he may learn to fear the gods.",,,
1462-1466,140,"ὤμοι πονηρά γʼ ὦ Νεφέλαι, δίκαια δέ. οὐ γάρ μʼ ἐχρῆν τὰ χρήμαθʼ ἁδανεισάμην ἀποστερεῖν. νῦν οὖν ὅπως ὦ φίλτατε τὸν Χαιρεφῶντα τὸν μιαρὸν καὶ Σωκράτη ἀπολεῖς μετʼ ἐμοῦ ʼλθών, οἳ σὲ κἄμʼ ἐξηπάτων.",Negative,1,"Ah me ! it is severe, O Clouds! But it is just; for I ought not to have withheld the money which I borrowed. Now, therefore, come with me, my dearest son, that you may destroy the blackguard Chaerephon and Socrates, who deceived you and me.",,,
1472-1474,141,"οὐκ ἐξελήλακʼ, ἀλλʼ ἐγὼ τοῦτʼ ᾠόμην διὰ τουτονὶ τὸν δῖνον. οἴμοι δείλαιος ὅτε καὶ σὲ χυτρεοῦν ὄντα θεὸν ἡγησάμην.",Negative,1,"He has not expelled him; but I fancied this, on account of this Vortex here. Ah me, unhappy man! When I even took you who are of earthenware for a god.",,,
1500-1501,142,"τοῦτʼ αὐτὸ γὰρ καὶ βούλομαι, ἢν ἡ σμινύη μοι μὴ προδῷ τὰς ἐλπίδας, ἢ ʼγὼ πρότερόν πως ἐκτραχηλισθῶ πεσών.",Neutral,1,"For I also wish this very thing; unless my mattock deceive my hopes, or I should somehow fall first and break my neck.",,,
